request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_190,531.08,affordable_later,wait,2025-02-13:2557.5,2025-02-13,none,"Wait until 13 February 2025, then pay EUR 2,557.50 in full. This leaves at least EUR 1,600 available over the next 90 days."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Pay EUR 664.40 today. This leaves at least EUR 500 available over the next 90 days.
request_192,248.76,not_affordable,not_recommended,none,2026-06-10,none,"Do not make this payment by 11 May 2026. None of the available options keeps the USD 1,000 minimum protected."
request_193,22.75,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-18,none,"Use 3 installments of EUR 420.23, starting 21 March 2024. This leaves at least EUR 1,000 available over the next 90 days."
request_194,33809.9,affordable_later,wait,2025-10-22:132800,2025-10-22,none,"Wait until 22 October 2025, then pay INR 132,800.00 in full. This leaves at least INR 113,600 available over the next 90 days."
request_195,966.57,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-02-13,none,"Use 3 installments of EUR 405.74, starting 9 January 2026. This leaves at least EUR 700 available over the next 90 days."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500 available over the next 90 days.
request_197,50939000.0,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,"Use 3 installments of IDR 17,658,853.33, starting 19 November 2025. This leaves at least IDR 26,245,900 available over the next 90 days."
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800.00 today. This leaves at least INR 124,300 available over the next 90 days."
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8,206,986.67, starting 7 September 2024. This leaves at least IDR 25,359,500 available over the next 90 days."
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000.00 today. This leaves at least IDR 20,114,600 available over the next 90 days."
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Pay IDR 23,997,000.00 today. This leaves at least IDR 17,304,500 available over the next 90 days."
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900.00 today. This leaves at least INR 147,800 available over the next 90 days."
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 10 May 2025. This leaves at least EUR 1,400 available over the next 90 days."
request_204,578.09,affordable_later,wait,2026-01-14:588.74,2026-01-14,none,"Wait until 14 January 2026, then pay EUR 588.74 in full. This leaves at least EUR 1,300 available over the next 90 days."
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000.00 today. This leaves at least IDR 13,994,300 available over the next 90 days."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 3 August 2025. This leaves at least EUR 900 available over the next 90 days."
request_207,4500.84,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Wait until 15 July 2026, then pay ZAR 11,830.00 in full. This leaves at least ZAR 13,600 available over the next 90 days."
request_208,3059490.21,affordable_later,wait,2024-06-14:4413000,2024-06-14,none,"Wait until 14 June 2024, then pay IDR 4,413,000.00 in full. This leaves at least IDR 10,470,700 available over the next 90 days."
request_209,1687.63,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 November 2025. None of the available options keeps the ZAR 18,400 minimum protected."
request_210,1131.27,affordable_with_plan,partial_payment,2026-04-06:1131.27|2026-04-14:228.75,2026-04-14,none,"Pay USD 1,131.27 today and the remaining USD 228.75 on 14 April 2026. This leaves at least USD 2,000 available over the next 90 days."
request_211,214.04,not_affordable,not_recommended,none,2024-11-16,none,"Do not make this payment by 15 November 2024. None of the available options keeps the EUR 1,500 minimum protected."
request_212,4524836.9,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 February 2025. None of the available options keeps the IDR 29,579,800 minimum protected."
request_213,2441.93,not_affordable,not_recommended,none,,none,"Do not make this payment by 22 March 2026. None of the available options keeps the USD 2,100 minimum protected."
request_214,39896.31,affordable_with_plan,partial_payment,2024-12-04:39896.31|2024-12-16:29853.69,2024-12-16,none,"Pay INR 39,896.31 today and the remaining INR 29,853.69 on 16 December 2024. This leaves at least INR 174,900 available over the next 90 days."
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10,395.15, starting 9 May 2025. This leaves at least ZAR 15,700 available over the next 90 days."
request_216,396.8,affordable_later,wait,2026-09-13:3332.4,2026-09-13,none,"Wait until 13 September 2026, then pay USD 3,332.40 in full. This leaves at least USD 1,800 available over the next 90 days."
request_217,19879.35,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-14,none,"Use 3 installments of ZAR 12,889.07, starting 19 March 2024. This leaves at least ZAR 26,800 available over the next 90 days."
request_218,25892752.02,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use 3 installments of IDR 21,195,893.33, starting 7 August 2025. This leaves at least IDR 34,477,200 available over the next 90 days."
request_219,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 13 June 2026. None of the available options keeps the EUR 1,100 minimum protected."
request_220,132.09,not_affordable,not_recommended,none,,none,"Do not make this payment by 3 July 2024. None of the available options keeps the EUR 1,100 minimum protected."
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800.00 today. This leaves at least INR 81,500 available over the next 90 days."
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078.00 today. This leaves at least ZAR 27,300 available over the next 90 days."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Pay EUR 898.70 today. This leaves at least EUR 800 available over the next 90 days.
request_224,10327000.0,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,"Use 2 installments of IDR 5,370,040.00, starting 4 February 2025. This leaves at least IDR 22,187,600 available over the next 90 days."
request_225,9535064.78,not_affordable,not_recommended,none,2026-09-13,none,"Do not make this payment by 21 September 2026. None of the available options keeps the IDR 17,670,700 minimum protected."
request_226,140980.03,affordable_with_plan,full_payment,2024-12-03:157000,2025-02-21,reduce_to:event_20754:3552,"Reduce shopping to 3552, then pay INR 157,000.00 today. This leaves at least INR 209,400 available over the next 90 days."
request_227,4312.21,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 June 2025. None of the available options keeps the INR 62,900 minimum protected."
request_228,6300287.49,affordable_later,wait,2026-04-15:63327000,2026-04-15,none,"Wait until 15 April 2026, then pay IDR 63,327,000.00 in full. This leaves at least IDR 26,191,200 available over the next 90 days."
request_229,390.72,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-18,none,"Use 3 installments of EUR 529.29, starting 18 March 2024. This leaves at least EUR 1,000 available over the next 90 days."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,"Pay EUR 3,537.60 today. This leaves at least EUR 2,000 available over the next 90 days."
request_231,30776.79,not_affordable,not_recommended,none,2026-03-18,none,"Do not make this payment by 17 March 2026. None of the available options keeps the ZAR 24,300 minimum protected."
request_232,828.69,affordable_later,wait,2024-06-14:1970.1,2024-06-14,none,"Wait until 14 June 2024, then pay EUR 1,970.10 in full. This leaves at least EUR 2,400 available over the next 90 days."
request_233,3794186.07,affordable_with_plan,partial_payment,2025-11-07:3794186.07|2025-11-15:2446813.93,2025-11-15,none,"Pay IDR 3,794,186.07 today and the remaining IDR 2,446,813.93 on 15 November 2025. This leaves at least IDR 10,365,700 available over the next 90 days."
request_234,184.52,affordable_later,wait,2026-09-13:1213.3,2026-09-13,none,"Wait until 13 September 2026, then pay EUR 1,213.30 in full. This leaves at least EUR 700 available over the next 90 days."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Pay USD 967.20 today. This leaves at least USD 700 available over the next 90 days.
request_236,5999077.82,not_affordable,not_recommended,none,,none,"Do not make this payment by 23 February 2025. None of the available options keeps the IDR 16,768,600 minimum protected."
request_237,21577420.2,affordable_with_plan,full_payment,2026-04-05:23826000,,reduce_to:event_21813:548720|reduce_to:event_21812:382850,"Reduce shopping to 548720 and reduce streaming to 382850, then pay IDR 23,826,000.00 today. This leaves at least IDR 22,431,500 available over the next 90 days."
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 7 December 2024. This leaves at least USD 700 available over the next 90 days."
request_239,642.0,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642.00 today. This leaves at least USD 600 available over the next 90 days.
request_240,16643.82,affordable_with_plan,partial_payment,2026-01-06:16643.82|2026-01-15:84556.18,2026-01-15,none,"Pay INR 16,643.82 today and the remaining INR 84,556.18 on 15 January 2026. This leaves at least INR 52,800 available over the next 90 days."
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7,298,026.67, starting 17 March 2024. This leaves at least IDR 19,252,000 available over the next 90 days."
request_242,92.97,not_affordable,not_recommended,none,2025-10-14,none,Do not make this payment by 25 August 2025. None of the available options keeps the EUR 600 minimum protected.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468.00 today. This leaves at least ZAR 19,900 available over the next 90 days."
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Pay ZAR 49,918.00 today. This leaves at least ZAR 45,900 available over the next 90 days."
request_245,30178.42,affordable_later,wait,2026-01-13:128500,2026-01-13,none,"Wait until 13 January 2026, then pay INR 128,500.00 in full. This leaves at least INR 94,600 available over the next 90 days."
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22,216.48, starting 3 April 2026. This leaves at least ZAR 39,300 available over the next 90 days."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,"Pay EUR 1,059.30 today. This leaves at least EUR 1,300 available over the next 90 days."
request_248,965.84,affordable_with_plan,partial_payment,2025-02-07:965.84|2025-02-11:999.76,2025-02-11,none,"Pay USD 965.84 today and the remaining USD 999.76 on 11 February 2025. This leaves at least USD 1,300 available over the next 90 days."
request_249,129.9,affordable_later,wait,2026-03-15:643.2,2026-03-15,none,"Wait until 15 March 2026, then pay USD 643.20 in full. This leaves at least USD 600 available over the next 90 days."
request_250,15777.63,affordable_with_plan,partial_payment,2024-12-06:15777.63|2024-12-16:108500.37,2024-12-16,none,"Pay ZAR 15,777.63 today and the remaining ZAR 108,500.37 on 16 December 2024. This leaves at least ZAR 35,300 available over the next 90 days."
request_251,1513.6,not_affordable,not_recommended,none,2025-05-03,none,"Do not make this payment by 6 June 2025. None of the available options keeps the EUR 1,300 minimum protected."
request_252,4722592.38,affordable_later,wait,2026-09-13:28082000,2026-09-13,none,"Wait until 13 September 2026, then pay IDR 28,082,000.00 in full. This leaves at least IDR 15,152,200 available over the next 90 days."
request_253,1364.18,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-05-18,none,"Use 3 installments of EUR 984.60, starting 21 March 2024. This leaves at least EUR 2,300 available over the next 90 days."
request_254,763.18,affordable_later,wait,2025-10-13:3535.2,2025-10-13,none,"Wait until 13 October 2025, then pay USD 3,535.20 in full. This leaves at least USD 2,500 available over the next 90 days."
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,"Pay IDR 3,345,000.00 today. This leaves at least IDR 9,813,900 available over the next 90 days."
request_256,151212.64,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-06-14,none,"Use 3 installments of INR 75,816.00, starting 10 June 2024. This leaves at least INR 168,600 available over the next 90 days."
request_257,359.49,not_affordable,not_recommended,none,2026-01-16,none,"Do not make this payment by 15 January 2026. None of the available options keeps the USD 1,600 minimum protected."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,"Pay USD 1,113.60 today. This leaves at least USD 500 available over the next 90 days."
request_259,447.88,affordable_later,wait,2024-11-13:935,2024-11-13,none,"Wait until 13 November 2024, then pay EUR 935.00 in full. This leaves at least EUR 600 available over the next 90 days."
request_260,10067998.11,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 April 2025. None of the available options keeps the IDR 20,727,700 minimum protected."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,"Pay EUR 1,830.40 today. This leaves at least EUR 1,500 available over the next 90 days."
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,"Pay IDR 9,236,000.00 today. This leaves at least IDR 31,018,500 available over the next 90 days."
request_263,7152.13,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 June 2025. None of the available options keeps the ZAR 24,100 minimum protected."
request_264,22367.62,affordable_later,wait,2026-06-13:111300,2026-06-13,none,"Wait until 13 June 2026, then pay INR 111,300.00 in full. This leaves at least INR 59,500 available over the next 90 days."
request_265,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 March 2024. None of the available options keeps the INR 189,700 minimum protected."
request_266,935.0,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,"Use 3 installments of EUR 324.13, starting 3 August 2025. This leaves at least EUR 900 available over the next 90 days."
request_267,1614.69,not_affordable,not_recommended,none,2026-03-15,none,"Do not make this payment by 17 March 2026. None of the available options keeps the EUR 1,500 minimum protected."
request_268,1039.41,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-14,none,"Use 3 installments of EUR 841.22, starting 14 June 2024. This leaves at least EUR 1,400 available over the next 90 days."
request_269,9831.01,affordable_later,wait,2025-11-15:15490,2025-11-15,none,"Wait until 15 November 2025, then pay ZAR 15,490.00 in full. This leaves at least ZAR 23,100 available over the next 90 days."
request_270,95.72,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 August 2026. None of the available options keeps the USD 1,400 minimum protected."
request_271,5514.75,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 November 2024. None of the available options keeps the INR 58,200 minimum protected."
request_272,5987561.54,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-16,none,"Use 3 installments of IDR 4,709,466.67, starting 12 February 2025. This leaves at least IDR 7,508,600 available over the next 90 days."
request_273,9484617.27,affordable_with_plan,partial_payment,2026-04-07:9484617.27|2026-04-14:6376382.73,2026-04-14,none,"Pay IDR 9,484,617.27 today and the remaining IDR 6,376,382.73 on 14 April 2026. This leaves at least IDR 18,774,600 available over the next 90 days."
request_274,2016.15,not_affordable,not_recommended,none,2025-02-16,none,"Do not make this payment by 11 February 2025. None of the available options keeps the EUR 1,800 minimum protected."
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15,884,000.00 today. This leaves at least IDR 12,760,100 available over the next 90 days."
